first equation passed
second equation passed
third equation passed
ins_array has size 53
final loop
0 <http://ip/10915> <http://vector-a-score> "0.000142403766914"
1 <http://ip/10801> <http://vector-a-score> "4.74679223046e-06"
2 <http://ip/11016> <http://vector-a-score> "1.26581126146e-05"
3 <http://ip/10284> <http://vector-a-score> "0.000158226407682"
4 <http://ip/10582> <http://vector-a-score> "4.43033941509e-05"
5 <http://ip/10136> <http://vector-a-score> "6.32905630728e-06"
6 <http://ip/10580> <http://vector-a-score> "4.58856582278e-05"
7 <http://ip/12418> <http://vector-a-score> "0.000113923013531"
8 <http://ip/12329> <http://vector-a-score> "4.74679223046e-06"
9 <http://ip/10581> <http://vector-a-score> "4.58856582278e-05"
10 <http://ip/11342> <http://vector-a-score> "1.89871689218e-05"
11 <http://ip/12538> <http://vector-a-score> "2.6050532713e-05"
12 <http://ip/10204> <http://vector-a-score> "1.58226407682e-06"
13 <http://ip/10914> <http://vector-a-score> "3.95566019205e-05"
14 <http://ip/29792> <http://vector-a-score> "2.53162252291e-05"
15 <http://ip/10281> <http://vector-a-score> "4.74679223046e-06"
16 <http://ip/10371> <http://vector-a-score> "4.11388659973e-05"
17 <http://ip/12672> <http://vector-a-score> "1.58226407682e-05"
18 <http://ip/11017> <http://vector-a-score> "1.26581126146e-05"
19 <http://ip/12685> <http://vector-a-score> "2.53162252291e-05"
20 <http://ip/11542> <http://vector-a-score> "1.58226407682e-06"
21 <http://ip/12322> <http://vector-a-score> "9.49358446092e-06"
22 <http://ip/11052> <http://vector-a-score> "1.26581126146e-05"
23 <http://ip/12327> <http://vector-a-score> "6.32905630728e-06"
24 <http://ip/1053> <http://vector-a-score> "4.74679223046e-06"
25 <http://ip/12239> <http://vector-a-score> "3.16452815364e-06"
26 <http://ip/11093> <http://vector-a-score> "6.32905630728e-06"
27 <http://ip/12444> <http://vector-a-score> "1.58226407682e-06"
28 <http://ip/10632> <http://vector-a-score> "1.58226407682e-06"
29 <http://ip/11061> <http://vector-a-score> "1.58226407682e-06"
30 <http://ip/10205> <http://vector-a-score> "1.58226407682e-06"
31 <http://ip/10621> <http://vector-a-score> "1.58226407682e-06"
32 <http://ip/11054> <http://vector-a-score> "1.58226407682e-06"
33 <http://ip/12677> <http://vector-a-score> "3.16452815364e-06"
34 <http://ip/1253> <http://vector-a-score> "1.58226407682e-06"
35 <http://ip/10857> <http://vector-a-score> "1.10758485377e-05"
36 <http://ip/10486> <http://vector-a-score> "1.58226407682e-06"
37 <http://ip/10963> <http://vector-a-score> "4.74679223046e-06"
38 <http://ip/10964> <http://vector-a-score> "3.16452815364e-06"
39 <http://ip/12328> <http://vector-a-score> "1.58226407682e-06"
40 <http://ip/10728> <http://vector-a-score> "1.58226407682e-06"
41 <http://ip/10298> <http://vector-a-score> "9.1788435487e-08"
42 <http://ip/10289> <http://vector-a-score> "1.58226407682e-06"
43 <http://ip/10960> <http://vector-a-score> "1.58226407682e-06"
44 <http://ip/11043> <http://vector-a-score> "3.16452815364e-06"
45 <http://ip/10915> <http://vector-b-score> "7.48894893985e-05"
